"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"It's a full house omg
#AvatarTheWayOfWater https://t.co/JY8mHAW12T",FALSE,0,NA,2023-01-04 03:55:40,FALSE,NA,"1610485086000132099",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","clarkjoes",0,FALSE,FALSE,NA,NA
"In classic Yoko fashion, I'm celebrating my birthday at the movies. I'm here with the special blue @AMCTheatres… https://t.co/KSRRzxaCN6",FALSE,0,NA,2023-01-04 03:55:05,TRUE,NA,"1610484939891544070",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","theYokoHiguchi",0,FALSE,FALSE,NA,NA
"RT @Jay_Kuro51: PART 1 🌊 
#AvatarTheWayOfWater #kiri #Neteyam #украрт https://t.co/BbRhiDK1aS",FALSE,0,NA,2023-01-04 03:54:25,FALSE,NA,"1610484771779485696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","guerrerotrueno",9,TRUE,FALSE,NA,NA
"RT @Luiz_Fernando_J: In my final #AvatarTheWayOfWater-related post today…
“But Luiz, when could TWoW cross 2B at Global #BoxOffice?”
If it…",FALSE,0,NA,2023-01-04 03:53:58,FALSE,NA,"1610484657090592769",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KamenAzrael",29,TRUE,FALSE,NA,NA
"RT @VenkatKuchipud4: 03-01-'23, vijayawada single screens 1st shows gross
#Dhamaka
18,667
#AvatarTheWayOfWater
12,050   
#Kushi
3,635
#Kora…",FALSE,0,NA,2023-01-04 03:53:55,FALSE,NA,"1610484645300158464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Vamshir11928175",8,TRUE,FALSE,NA,NA
"RT @Cinetrak: #CinetrakFlash: Top 3 Movies In APTS for 02 January 2023

1. #Dhamaka (-61%)
2. #AvatarTheWayOfWater (-64%)
3. #Kushi (-61%)…",FALSE,0,NA,2023-01-04 03:53:28,FALSE,NA,"1610484530443603969",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bhagath_Tweetz",286,TRUE,FALSE,NA,NA
"RT @Cinetrak: #CinetrakFlash: Top 3 Movies In APTS for 02 January 2023

1. #Dhamaka (-61%)
2. #AvatarTheWayOfWater (-64%)
3. #Kushi (-61%)…",FALSE,0,NA,2023-01-04 03:53:22,FALSE,NA,"1610484508293484545",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","neupane_dhanraj",286,TRUE,FALSE,NA,NA
"RT @letscinema: #AvatarTheWayOfWater collected $1.4 billion at the global box office. 

America - $444 Million. 
International Markets - $9…",FALSE,0,NA,2023-01-04 03:53:18,FALSE,NA,"1610484490035683328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","5thdimensionman",288,TRUE,FALSE,NA,NA
"RT @JUSTcatmeme: Reminder that this still exists #AvatarTheWayOfWater https://t.co/MzhhJUyF64",FALSE,0,NA,2023-01-04 03:52:01,FALSE,NA,"1610484168957530112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DatSaphNeko",2,TRUE,FALSE,NA,NA
"RT @Cinetrak: #CinetrakFlash: Top 3 Movies In APTS for 03 January 2023, 09:00 PM

1. #Dhamaka (-27%)
2. #AvatarTheWayOfWater (-21%)
3. #18P…",FALSE,0,NA,2023-01-04 03:51:22,FALSE,NA,"1610484003781627904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Obulesh73991245",34,TRUE,FALSE,NA,NA
"#AvatarTheWayOfWater will cross #TopGunMaverick today to be the highest grossing movie of 2022.

Next Stop Spider-M… https://t.co/YML4ViiIZs",FALSE,0,NA,2023-01-04 03:50:56,TRUE,NA,"1610483896789127170",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SurrealZack",0,FALSE,FALSE,NA,NA
"Avatar (2009)

Frame 10460 of 245854

Time 00:07:35 of 02:58:09

#Avatar #Avatar2 #AvatarTheWayOfWater #JamesCameron https://t.co/WhdGsYQuv0",FALSE,0,NA,2023-01-04 03:50:03,FALSE,NA,"1610483673165402113",NA,"<a href=""https://www.demineur-ligne.com/"" rel=""nofollow"">every avatar frame in order</a>","AvatarInFrame",0,FALSE,FALSE,NA,NA
"Round 4 of @JimCameron's #AvatarTheWayOfWater (3rd time in @IMAX 3D) on my 28th birthday. The perfect gift to celeb… https://t.co/Jgc5qg3oY0",FALSE,0,NA,2023-01-04 03:50:00,TRUE,NA,"1610483658762092551",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","theYokoHiguchi",0,FALSE,FALSE,NA,NA
"RT @BakiKayaArt: #NewTwitterHeader
I made my own IMAX 3D banner. @IMAX #Avatar #AvatarTheWayOfWater https://t.co/pVGzDhG96J",FALSE,0,NA,2023-01-04 03:49:27,FALSE,NA,"1610483522938228736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Uli_gf",1,TRUE,FALSE,NA,NA
"RT @Cinetrak: #CinetrakFlash: Top 3 Movies In APTS for 03 January 2023

1. #Dhamaka (-27%)
2. #AvatarTheWayOfWater (-20%)
3. #18Pages (-7%)…",FALSE,0,NA,2023-01-04 03:49:25,FALSE,NA,"1610483511567474691",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EdwinzMurthy",19,TRUE,FALSE,NA,NA
"RT @gotgvoI3: try not to say mother challenge FAILED
#NEYTIRI #AvatarTheWayOfWater 

cc vpmpires | ib tvmourn  https://t.co/Jx5Kx0p7nj",FALSE,0,NA,2023-01-04 03:48:55,FALSE,NA,"1610483386266656768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_loakss",15,TRUE,FALSE,NA,NA
"RT @AnandCinemas: #VarisuTrailer will be exclusively screened during #AvatarTheWayOfWater    6:00PM show tomorrow!",FALSE,0,NA,2023-01-04 03:48:39,FALSE,NA,"1610483318998593536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","karuppu41101321",99,TRUE,FALSE,NA,NA
"RT @Cinetrak: #CinetrakFlash: Top 3 Movies In APTS for 03 January 2023

1. #Dhamaka (-27%)
2. #AvatarTheWayOfWater (-20%)
3. #18Pages (-7%)…",FALSE,0,NA,2023-01-04 03:48:14,FALSE,NA,"1610483213704790017",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RamKuma63241606",19,TRUE,FALSE,NA,NA
"RT @Cinetrak: #CinetrakFlash: Top 5 Movies In India for 03 January 2023, 09:00 PM

1. #AvatarTheWayOfWater (-25%)
2. #Ved (-15%)
3. #Dhamak…",FALSE,0,NA,2023-01-04 03:47:39,FALSE,NA,"1610483067646545922",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EdwinzMurthy",32,TRUE,FALSE,NA,NA
"RT @ali_ragnarok: The way of water. Can’t get enough of this movie.
#AvatarTheWayOfWater #avatar #ronal #tonowari #Neteyam #Loak #kiri #nav…",FALSE,0,NA,2023-01-04 03:47:39,FALSE,NA,"1610483066673442822",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bo33Ro_backup",32,TRUE,FALSE,NA,NA
"RT @VenkatKuchipud4: 03-01-'23, vijayawada single screens 1st shows gross
#Dhamaka
18,667
#AvatarTheWayOfWater
12,050   
#Kushi
3,635
#Kora…",FALSE,0,NA,2023-01-04 03:47:14,FALSE,NA,"1610482964546351108",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bhanuteja244",8,TRUE,FALSE,NA,NA
"RT @rameshlaus: #AvatarTheWayOfWater is projected to cross #AvengersEndgame to become All-time No.1 Hollywood movie in India..",FALSE,0,NA,2023-01-04 03:47:02,FALSE,NA,"1610482911396126720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mani05082105",35,TRUE,FALSE,NA,NA
"RT @mukkeekee__252: He go home 

#AvatarTheWayOfWater https://t.co/n1omAppmkr",FALSE,0,NA,2023-01-04 03:46:58,FALSE,NA,"1610482896095137792",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LummyLumyne",46,TRUE,FALSE,NA,NA
"RT @Cinetrak: #CinetrakFlash: Top 5 Movies In India for 03 January 2023, 06:00 PM

1. #AvatarTheWayOfWater (-26%)
2. #Ved (-15%)
3. #Dhamak…",FALSE,0,NA,2023-01-04 03:46:46,FALSE,NA,"1610482845398753282",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bhanuteja244",14,TRUE,FALSE,NA,NA
"Avatar (2009)

Frame 10459 of 245854

Time 00:07:35 of 02:58:09

#Avatar #Avatar2 #AvatarTheWayOfWater #JamesCameron https://t.co/NHKLYgIpRt",FALSE,0,NA,2023-01-04 03:45:03,FALSE,NA,"1610482412177293314",NA,"<a href=""https://www.demineur-ligne.com/"" rel=""nofollow"">every avatar frame in order</a>","AvatarInFrame",0,FALSE,FALSE,NA,NA
"RT @cinelinx: We're kicking of the #NewYear with a new episode of the @casualcinecast as we chat about #GlassOnion, #AvatarTheWayOfWater, a…",FALSE,0,NA,2023-01-04 03:44:47,FALSE,NA,"1610482348360974341",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","christdacko",4,TRUE,FALSE,NA,NA
"RT @AvatarPandorawd: Box Office: #AvatarTheWayofWater Swims to $86 Million Over New Year’s Holiday.
Via- @Variety https://t.co/9EflEymkm8",FALSE,0,NA,2023-01-04 03:44:22,FALSE,NA,"1610482240353619970",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","v4mpcziee",59,TRUE,FALSE,NA,NA
"RT @rameshlaus: #AvatarTheWayOfWater is projected to cross #AvengersEndgame to become All-time No.1 Hollywood movie in India..",FALSE,0,NA,2023-01-04 03:44:18,FALSE,NA,"1610482227074469888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DontSearchMe10",35,TRUE,FALSE,NA,NA
"RT @rameshlaus: #AvatarTheWayOfWater crosses $1 Billion at the International Box Office..",FALSE,0,NA,2023-01-04 03:44:11,FALSE,NA,"1610482197949198338",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DontSearchMe10",21,TRUE,FALSE,NA,NA
"RT @Abhishek240988: Top 5 Movies In India for 03 January 2023

1. #AvatarTheWayOfWater    (-24%)
2. #Ved (-14%)
3. #Dhamaka (-26%)
4. #Cirk…",FALSE,0,NA,2023-01-04 03:43:28,FALSE,NA,"1610482013752160257",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DonDas_",1,TRUE,FALSE,NA,NA
